local_filename,family_id,family_label,prompt_id,prompt_label,prompt_slot,seed,seed_slot,denoise,intended_prompt,actual_prompt,intended_cfg,actual_cfg,intended_steps,actual_steps,intended_denoise,actual_denoise,intended_sampler_name,actual_sampler_name,intended_scheduler,actual_scheduler,intended_seed,actual_seed,metadata_ok,matches_intended,mismatch_summary
descriptive__descriptive-01__dn100__slot01__seed936466550673771.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,936466550673771,1,1.0,"Nature ambience, birds","Nature ambience, birds",8.0,8.0,60,60,1.0,1.0,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,936466550673771,936466550673771,True,True,
descriptive__descriptive-01__dn070__slot01__seed936466550673771.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,936466550673771,1,0.7,"Nature ambience, birds","Nature ambience, birds",8.0,8.0,60,60,0.7,0.7,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,936466550673771,936466550673771,True,True,
descriptive__descriptive-01__dn055__slot01__seed936466550673771.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,936466550673771,1,0.55,"Nature ambience, birds","Nature ambience, birds",8.0,8.0,60,60,0.55,0.55,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,936466550673771,936466550673771,True,True,
descriptive__descriptive-01__dn040__slot01__seed936466550673771.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,936466550673771,1,0.4,"Nature ambience, birds","Nature ambience, birds",8.0,8.0,60,60,0.4,0.4,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,936466550673771,936466550673771,True,True,
descriptive__descriptive-01__dn100__slot02__seed937150080021621.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,937150080021621,2,1.0,"Nature ambience, birds","Nature ambience, birds",8.0,8.0,60,60,1.0,1.0,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,937150080021621,937150080021621,True,True,
descriptive__descriptive-01__dn070__slot02__seed937150080021621.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,937150080021621,2,0.7,"Nature ambience, birds","Nature ambience, birds",8.0,8.0,60,60,0.7,0.7,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,937150080021621,937150080021621,True,True,
descriptive__descriptive-01__dn055__slot02__seed937150080021621.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,937150080021621,2,0.55,"Nature ambience, birds","Nature ambience, birds",8.0,8.0,60,60,0.55,0.55,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,937150080021621,937150080021621,True,True,
descriptive__descriptive-01__dn040__slot02__seed937150080021621.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,937150080021621,2,0.4,"Nature ambience, birds","Nature ambience, birds",8.0,8.0,60,60,0.4,0.4,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,937150080021621,937150080021621,True,True,
descriptive__descriptive-01__dn100__slot03__seed713301688808005.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,713301688808005,3,1.0,"Nature ambience, birds","Nature ambience, birds",8.0,8.0,60,60,1.0,1.0,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,713301688808005,713301688808005,True,True,
descriptive__descriptive-01__dn070__slot03__seed713301688808005.flac,descriptive,Descriptive,descriptive-01,"Nature ambience, birds",1,713301688808005,3,0.7,"Nature ambience, birds","Nature ambience, birds",8.0,8.0,60,60,0.7,0.7,dpmpp_3m_sde_gpu,dpmpp_3m_sde_gpu,karras,karras,713301688808005,713301688808005,True,True,
