source_family_id,source_family_label,source_prompt_id,source_prompt_label,target_prompt_id,target_prompt_label,target_prompt_family_id,target_prompt_family_label,denoise,n,mean_cosine_similarity,std_cosine_similarity
descriptive,Descriptive,descriptive-01,"Nature ambience, birds",descriptive-01,"Nature ambience, birds",descriptive,Descriptive,1.0,6,0.5558026432991028,0.03446841239929199
descriptive,Descriptive,descriptive-01,"Nature ambience, birds",descriptive-02,"City soundscape, traffic, noise",descriptive,Descriptive,1.0,6,0.010200907476246357,0.1473114937543869
descriptive,Descriptive,descriptive-01,"Nature ambience, birds",descriptive-03,Ambient synth loop,descriptive,Descriptive,1.0,6,0.14574865996837616,0.056843969970941544
descriptive,Descriptive,descriptive-01,"Nature ambience, birds",descriptive-04,"Cat purring, feline, kitty",descriptive,Descriptive,1.0,6,-0.026436300948262215,0.03246990963816643
descriptive,Descriptive,descriptive-01,"Nature ambience, birds",descriptive-05,"Jazz piano chords, loop",descriptive,Descriptive,1.0,6,-0.11612442880868912,0.06356869637966156
descriptive,Descriptive,descriptive-01,"Nature ambience, birds",abstract-01,Solar ekphrasis,abstract,Abstract,1.0,6,0.046730902045965195,0.07483775168657303
descriptive,Descriptive,descriptive-01,"Nature ambience, birds",abstract-02,Cosmic infoldings,abstract,Abstract,1.0,6,-0.008972996845841408,0.04498952627182007
descriptive,Descriptive,descriptive-01,"Nature ambience, birds",abstract-03,Colliding blackholes,abstract,Abstract,1.0,6,-0.03893636167049408,0.12403842806816101
descriptive,Descriptive,descriptive-01,"Nature ambience, birds",abstract-04,Fragile entropic structure,abstract,Abstract,1.0,6,-0.032086316496133804,0.08364344388246536
descriptive,Descriptive,descriptive-01,"Nature ambience, birds",abstract-05,Entangled bilateral transfer functions,abstract,Abstract,1.0,6,0.09201976656913757,0.1014503613114357
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",descriptive-01,"Nature ambience, birds",descriptive,Descriptive,1.0,6,-0.08605434745550156,0.057537276297807693
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",descriptive-02,"City soundscape, traffic, noise",descriptive,Descriptive,1.0,6,0.4695293605327606,0.09471595287322998
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",descriptive-03,Ambient synth loop,descriptive,Descriptive,1.0,6,0.15288175642490387,0.05868863686919212
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",descriptive-04,"Cat purring, feline, kitty",descriptive,Descriptive,1.0,6,-0.0774717852473259,0.05820990353822708
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",descriptive-05,"Jazz piano chords, loop",descriptive,Descriptive,1.0,6,-0.026707222685217857,0.060438770800828934
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",abstract-01,Solar ekphrasis,abstract,Abstract,1.0,6,0.08977881819009781,0.07591278105974197
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",abstract-02,Cosmic infoldings,abstract,Abstract,1.0,6,0.07353118807077408,0.052815522998571396
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",abstract-03,Colliding blackholes,abstract,Abstract,1.0,6,0.1208488717675209,0.08575833588838577
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",abstract-04,Fragile entropic structure,abstract,Abstract,1.0,6,0.015397700481116772,0.08132798969745636
descriptive,Descriptive,descriptive-02,"City soundscape, traffic, noise",abstract-05,Entangled bilateral transfer functions,abstract,Abstract,1.0,6,-0.0015927100321277976,0.059907328337430954
descriptive,Descriptive,descriptive-03,Ambient synth loop,descriptive-01,"Nature ambience, birds",descriptive,Descriptive,1.0,6,-0.03508169576525688,0.06193751469254494
descriptive,Descriptive,descriptive-03,Ambient synth loop,descriptive-02,"City soundscape, traffic, noise",descriptive,Descriptive,1.0,6,0.05587339401245117,0.0477379746735096
descriptive,Descriptive,descriptive-03,Ambient synth loop,descriptive-03,Ambient synth loop,descriptive,Descriptive,1.0,6,0.49413013458251953,0.0629367083311081
descriptive,Descriptive,descriptive-03,Ambient synth loop,descriptive-04,"Cat purring, feline, kitty",descriptive,Descriptive,1.0,6,-0.04737592115998268,0.061771493405103683
descriptive,Descriptive,descriptive-03,Ambient synth loop,descriptive-05,"Jazz piano chords, loop",descriptive,Descriptive,1.0,6,0.09362364560365677,0.07048026472330093
descriptive,Descriptive,descriptive-03,Ambient synth loop,abstract-01,Solar ekphrasis,abstract,Abstract,1.0,6,0.06184111908078194,0.09281948208808899
descriptive,Descriptive,descriptive-03,Ambient synth loop,abstract-02,Cosmic infoldings,abstract,Abstract,1.0,6,0.12470724433660507,0.1087193563580513
descriptive,Descriptive,descriptive-03,Ambient synth loop,abstract-03,Colliding blackholes,abstract,Abstract,1.0,6,0.03793381527066231,0.05920988321304321
descriptive,Descriptive,descriptive-03,Ambient synth loop,abstract-04,Fragile entropic structure,abstract,Abstract,1.0,6,0.010526955127716064,0.07759939879179001
descriptive,Descriptive,descriptive-03,Ambient synth loop,abstract-05,Entangled bilateral transfer functions,abstract,Abstract,1.0,6,0.1748242825269699,0.12103980779647827
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",descriptive-01,"Nature ambience, birds",descriptive,Descriptive,1.0,6,-0.05134052410721779,0.023877104744315147
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",descriptive-02,"City soundscape, traffic, noise",descriptive,Descriptive,1.0,6,-0.033929988741874695,0.039851803332567215
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",descriptive-03,Ambient synth loop,descriptive,Descriptive,1.0,6,0.06892137229442596,0.05455487594008446
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",descriptive-04,"Cat purring, feline, kitty",descriptive,Descriptive,1.0,6,0.38493648171424866,0.033319421112537384
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",descriptive-05,"Jazz piano chords, loop",descriptive,Descriptive,1.0,6,0.04948532581329346,0.06632159650325775
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",abstract-01,Solar ekphrasis,abstract,Abstract,1.0,6,0.05066581442952156,0.06145212799310684
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",abstract-02,Cosmic infoldings,abstract,Abstract,1.0,6,0.08311160653829575,0.054364245384931564
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",abstract-03,Colliding blackholes,abstract,Abstract,1.0,6,0.0887419581413269,0.07707657665014267
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",abstract-04,Fragile entropic structure,abstract,Abstract,1.0,6,0.025299886241555214,0.029013078659772873
descriptive,Descriptive,descriptive-04,"Cat purring, feline, kitty",abstract-05,Entangled bilateral transfer functions,abstract,Abstract,1.0,6,0.2398785799741745,0.05762301757931709
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",descriptive-01,"Nature ambience, birds",descriptive,Descriptive,1.0,6,-0.10200554877519608,0.036620691418647766
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",descriptive-02,"City soundscape, traffic, noise",descriptive,Descriptive,1.0,6,0.08410689234733582,0.027454404160380363
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",descriptive-03,Ambient synth loop,descriptive,Descriptive,1.0,6,0.34283527731895447,0.09161631017923355
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",descriptive-04,"Cat purring, feline, kitty",descriptive,Descriptive,1.0,6,0.00440818490460515,0.030776241794228554
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",descriptive-05,"Jazz piano chords, loop",descriptive,Descriptive,1.0,6,0.23801052570343018,0.05486592650413513
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",abstract-01,Solar ekphrasis,abstract,Abstract,1.0,6,0.008061772212386131,0.05334886536002159
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",abstract-02,Cosmic infoldings,abstract,Abstract,1.0,6,-0.005566911306232214,0.040269892662763596
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",abstract-03,Colliding blackholes,abstract,Abstract,1.0,6,-0.04740719869732857,0.03873944655060768
descriptive,Descriptive,descriptive-05,"Jazz piano chords, loop",abstract-04,Fragile entropic structure,abstract,Abstract,1.0,6,0.019639071077108383,0.033721257001161575
